Skill,Category,Mapped Category
SAP R3,Tool/Software,database development tools
SAS Data Management,Tool/Software,statistical analysis system software
SAS language,Tool/Software,statistical analysis system software
SASS,Tool/Software,style sheet languages
Scala,Tool/Software,computer programming
scientific research methodology,General Knowledge,Other
Scikit-learn,Tool/Software,machine learning
Scratch,Tool/Software,computer programming
security engineering,General Knowledge,Security
security legislation,General Knowledge,Security
security standards,General Knowledge,Security
Selenium,Tool/Software,tools for test automation
Sentry,Tool/Software,network management system tools
service-oriented modelling,General Knowledge,Software Design
signal processing,General Knowledge,Other
Smalltalk,Tool/Software,computer programming
smart contract,General Knowledge,Emerging Tech
Snort,Tool/Software,cyber security
Snowflake,Tool/Software,data warehouse
SOAP,Tool/Software,query languages
social media marketing techniques,General Knowledge,Business & Marketing
software anomalies,General Knowledge,Other
software architecture models,General Knowledge,Software Design
software components libraries,General Knowledge,Other
software components suppliers,General Knowledge,Other
software design methodologies,General Knowledge,Design & UX
software frameworks,General Knowledge,Other
software interaction design,General Knowledge,Design & UX
software metrics,General Knowledge,Other
software specifications,General Knowledge,Other
software UI design patterns,General Knowledge,Software Design
Solidity,General Knowledge,Other
solution deployment,General Knowledge,Other
spaCy,Tool/Software,natural language processing
SPARQL,Tool/Software,query languages
Spiral development,General Knowledge,Other
Spring Boot,Tool/Software,web programming
SQL Server,Tool/Software,data storage
STAF,Tool/Software,tools for test automation
statistical analysis system software,General Knowledge,Mathematics & Logic
statistics,General Knowledge,Mathematics & Logic
style sheet languages,General Knowledge,Other
Sublime Text,Tool/Software,integrated development environment software
Svelte,Tool/Software,web programming
Swift,Tool/Software,computer programming
Synfig,Tool/Software,graphics editor software
system backup best practice,General Knowledge,Other
system integration,General Knowledge,Other
system programming,General Knowledge,Programming Concepts
system user requirements,General Knowledge,Other
systems development life-cycle,General Knowledge,Other
systems theory,General Knowledge,Other
Tableau,Tool/Software,business intelligence
Tailwind CSS,Tool/Software,style sheet languages
task algorithmisation,General Knowledge,Programming Concepts
technical drawings,General Knowledge,Other
TensorFlow,Tool/Software,machine learning
Teradata Database,Tool/Software,data storage
Terraform,Tool/Software,tools for software configuration management
TestNG,Tool/Software,tools for test automation
tools for software configuration management,General Knowledge,Other
tools for test automation,General Knowledge,Other
transformation and loading tools,General Knowledge,Other
Transformers,Tool/Software,natural language processing
Travis CI,Tool/Software,tools for software configuration management
trigonometry,General Knowledge,Mathematics & Logic
TypeScript,Tool/Software,web programming
unified modelling language,General Knowledge,Software Design
unstructured data,General Knowledge,Data & Analytics
usability engineering,General Knowledge,Engineering
Vagrant,Tool/Software,tools for software configuration management
VBScript,Tool/Software,computer programming
visual presentation techniques,General Knowledge,Design & UX
Visual Studio .NET,Tool/Software,integrated development environment software
Visual Studio Code,Tool/Software,integrated development environment software
Vue.js,Tool/Software,web programming
Vyper,Tool/Software,blockchain
Waterfall development,General Knowledge,Project Management
web analytics,General Knowledge,Data & Analytics
web application security threats,General Knowledge,Security
web programming,General Knowledge,Web Development
Webpack,Tool/Software,tools for software configuration management
Windows Phone,Tool/Software,web programming
Wireshark,Tool/Software,cyber security
World Wide Web Consortium standards,General Knowledge,Web Development
Xamarin,Tool/Software,web programming
Xcode,Tool/Software,integrated development environment software
XQuery,Tool/Software,query languages
Yarn,Tool/Software,tools for software configuration management
Zapier,Tool/Software,service-oriented modelling
SQL,Tool/Software,query languages
Linux,Tool/Software,operating system
